generation,status,fitness,games,wins,draws,port_wins,port_losses,dominance_cap_penalty,matchup_floor_penalty,matchup_recovery_bonus,port_loss_pressure_penalty,survival_infra_bonus,min_matchup_win_rate,win_rate,avg_turns,avg_assets,avg_opponent_assets,shipyard_started_rate,shipyard_completed_rate,fort_started_rate,fort_completed_rate,trade_guild_started_rate,trade_guild_completed_rate,fishing_dock_built_rate,fishing_dock_active_rate,avg_fishing_boats,guard_captain_rate,avg_guard_captains,trade_weight,raid_weight,guard_weight,fire_weight,convoy_bias,ship_bias,shipyard_bias,fort_bias,trade_guild_bias,fishing_dock_bias,fishing_boat_bias,guard_captain_bias,fire_plans_bias,construction_idle_bias,build_priority
44,kept,-20834,170,71,0,17,44,2368,6645,0,3520,3760,0.000000,0.417647,11.258824,77.947059,45.741176,0.294118,0.270588,0.511765,0.447059,0.405882,0.364706,0.847059,0.829412,22.535294,0.523529,0.970588,1.662323,4.637105,2.285017,0.119778,0.007616,0.732073,0.264790,0.955727,0.112561,0.894270,0.890311,0.160540,0.250748,0.175097,guard_captain|trade_guild|fishing_boat
45,kept,-20834,170,71,0,17,44,2368,6645,0,3520,3760,0.000000,0.417647,11.258824,77.947059,45.741176,0.294118,0.270588,0.511765,0.447059,0.405882,0.364706,0.847059,0.829412,22.535294,0.523529,0.970588,1.662323,4.637105,2.285017,0.119778,0.007616,0.732073,0.264790,0.955727,0.112561,0.894270,0.890311,0.160540,0.250748,0.175097,guard_captain|trade_guild|fishing_boat
46,kept,-20834,170,71,0,17,44,2368,6645,0,3520,3760,0.000000,0.417647,11.258824,77.947059,45.741176,0.294118,0.270588,0.511765,0.447059,0.405882,0.364706,0.847059,0.829412,22.535294,0.523529,0.970588,1.662323,4.637105,2.285017,0.119778,0.007616,0.732073,0.264790,0.955727,0.112561,0.894270,0.890311,0.160540,0.250748,0.175097,guard_captain|trade_guild|fishing_boat
47,kept,-20834,170,71,0,17,44,2368,6645,0,3520,3760,0.000000,0.417647,11.258824,77.947059,45.741176,0.294118,0.270588,0.511765,0.447059,0.405882,0.364706,0.847059,0.829412,22.535294,0.523529,0.970588,1.662323,4.637105,2.285017,0.119778,0.007616,0.732073,0.264790,0.955727,0.112561,0.894270,0.890311,0.160540,0.250748,0.175097,guard_captain|trade_guild|fishing_boat
48,kept,-20834,170,71,0,17,44,2368,6645,0,3520,3760,0.000000,0.417647,11.258824,77.947059,45.741176,0.294118,0.270588,0.511765,0.447059,0.405882,0.364706,0.847059,0.829412,22.535294,0.523529,0.970588,1.662323,4.637105,2.285017,0.119778,0.007616,0.732073,0.264790,0.955727,0.112561,0.894270,0.890311,0.160540,0.250748,0.175097,guard_captain|trade_guild|fishing_boat
49,kept,-20834,170,71,0,17,44,2368,6645,0,3520,3760,0.000000,0.417647,11.258824,77.947059,45.741176,0.294118,0.270588,0.511765,0.447059,0.405882,0.364706,0.847059,0.829412,22.535294,0.523529,0.970588,1.662323,4.637105,2.285017,0.119778,0.007616,0.732073,0.264790,0.955727,0.112561,0.894270,0.890311,0.160540,0.250748,0.175097,guard_captain|trade_guild|fishing_boat
50,learned,-16768,170,72,0,30,36,1606,5769,0,2880,3692,0.000000,0.423529,11.282353,49.341176,43.694118,0.188235,0.158824,0.588235,0.505882,0.270588,0.241176,0.829412,0.811765,7.017647,0.588235,1.052941,1.347754,4.584190,2.092295,0.094503,0.004189,0.852640,0.172890,0.975650,0.061909,0.760885,0.658635,0.088297,0.137911,0.181354,guard_captain|trade_guild|fishing_boat
51,kept,-16768,170,72,0,30,36,1606,5769,0,2880,3692,0.000000,0.423529,11.282353,49.341176,43.694118,0.188235,0.158824,0.588235,0.505882,0.270588,0.241176,0.829412,0.811765,7.017647,0.588235,1.052941,1.347754,4.584190,2.092295,0.094503,0.004189,0.852640,0.172890,0.975650,0.061909,0.760885,0.658635,0.088297,0.137911,0.181354,guard_captain|trade_guild|fishing_boat
52,kept,-16768,170,72,0,30,36,1606,5769,0,2880,3692,0.000000,0.423529,11.282353,49.341176,43.694118,0.188235,0.158824,0.588235,0.505882,0.270588,0.241176,0.829412,0.811765,7.017647,0.588235,1.052941,1.347754,4.584190,2.092295,0.094503,0.004189,0.852640,0.172890,0.975650,0.061909,0.760885,0.658635,0.088297,0.137911,0.181354,guard_captain|trade_guild|fishing_boat
53,kept,-16768,170,72,0,30,36,1606,5769,0,2880,3692,0.000000,0.423529,11.282353,49.341176,43.694118,0.188235,0.158824,0.588235,0.505882,0.270588,0.241176,0.829412,0.811765,7.017647,0.588235,1.052941,1.347754,4.584190,2.092295,0.094503,0.004189,0.852640,0.172890,0.975650,0.061909,0.760885,0.658635,0.088297,0.137911,0.181354,guard_captain|trade_guild|fishing_boat
54,kept,-16768,170,72,0,30,36,1606,5769,0,2880,3692,0.000000,0.423529,11.282353,49.341176,43.694118,0.188235,0.158824,0.588235,0.505882,0.270588,0.241176,0.829412,0.811765,7.017647,0.588235,1.052941,1.347754,4.584190,2.092295,0.094503,0.004189,0.852640,0.172890,0.975650,0.061909,0.760885,0.658635,0.088297,0.137911,0.181354,guard_captain|trade_guild|fishing_boat
55,kept,-16768,170,72,0,30,36,1606,5769,0,2880,3692,0.000000,0.423529,11.282353,49.341176,43.694118,0.188235,0.158824,0.588235,0.505882,0.270588,0.241176,0.829412,0.811765,7.017647,0.588235,1.052941,1.347754,4.584190,2.092295,0.094503,0.004189,0.852640,0.172890,0.975650,0.061909,0.760885,0.658635,0.088297,0.137911,0.181354,guard_captain|trade_guild|fishing_boat
56,kept,-16768,170,72,0,30,36,1606,5769,0,2880,3692,0.000000,0.423529,11.282353,49.341176,43.694118,0.188235,0.158824,0.588235,0.505882,0.270588,0.241176,0.829412,0.811765,7.017647,0.588235,1.052941,1.347754,4.584190,2.092295,0.094503,0.004189,0.852640,0.172890,0.975650,0.061909,0.760885,0.658635,0.088297,0.137911,0.181354,guard_captain|trade_guild|fishing_boat
57,kept,-16768,170,72,0,30,36,1606,5769,0,2880,3692,0.000000,0.423529,11.282353,49.341176,43.694118,0.188235,0.158824,0.588235,0.505882,0.270588,0.241176,0.829412,0.811765,7.017647,0.588235,1.052941,1.347754,4.584190,2.092295,0.094503,0.004189,0.852640,0.172890,0.975650,0.061909,0.760885,0.658635,0.088297,0.137911,0.181354,guard_captain|trade_guild|fishing_boat
58,kept,-16768,170,72,0,30,36,1606,5769,0,2880,3692,0.000000,0.423529,11.282353,49.341176,43.694118,0.188235,0.158824,0.588235,0.505882,0.270588,0.241176,0.829412,0.811765,7.017647,0.588235,1.052941,1.347754,4.584190,2.092295,0.094503,0.004189,0.852640,0.172890,0.975650,0.061909,0.760885,0.658635,0.088297,0.137911,0.181354,guard_captain|trade_guild|fishing_boat
