generation,status,fitness,games,wins,draws,port_wins,win_rate,avg_turns,avg_assets,avg_opponent_assets,trade_weight,raid_weight,guard_weight,fire_weight,convoy_bias,ship_bias,build_priority
219,learned,70454,500,446,0,420,0.892000,8.868000,50.902000,7.474000,1.326261,2.901024,1.752975,3.344200,0.231182,0.833518,
220,kept,70454,500,446,0,420,0.892000,8.868000,50.902000,7.474000,1.326261,2.901024,1.752975,3.344200,0.231182,0.833518,
221,kept,70454,500,446,0,420,0.892000,8.868000,50.902000,7.474000,1.326261,2.901024,1.752975,3.344200,0.231182,0.833518,
222,kept,70454,500,446,0,420,0.892000,8.868000,50.902000,7.474000,1.326261,2.901024,1.752975,3.344200,0.231182,0.833518,
223,kept,70454,500,446,0,420,0.892000,8.868000,50.902000,7.474000,1.326261,2.901024,1.752975,3.344200,0.231182,0.833518,
224,kept,70454,500,446,0,420,0.892000,8.868000,50.902000,7.474000,1.326261,2.901024,1.752975,3.344200,0.231182,0.833518,
225,kept,70454,500,446,0,420,0.892000,8.868000,50.902000,7.474000,1.326261,2.901024,1.752975,3.344200,0.231182,0.833518,
226,kept,70454,500,446,0,420,0.892000,8.868000,50.902000,7.474000,1.326261,2.901024,1.752975,3.344200,0.231182,0.833518,
227,kept,70454,500,446,0,420,0.892000,8.868000,50.902000,7.474000,1.326261,2.901024,1.752975,3.344200,0.231182,0.833518,
228,learned,70563,500,446,0,420,0.892000,8.736000,50.874000,7.228000,1.315241,2.936293,1.729523,3.309822,0.226544,0.841842,
229,kept,70563,500,446,0,420,0.892000,8.736000,50.874000,7.228000,1.315241,2.936293,1.729523,3.309822,0.226544,0.841842,
230,kept,70563,500,446,0,420,0.892000,8.736000,50.874000,7.228000,1.315241,2.936293,1.729523,3.309822,0.226544,0.841842,
231,kept,70563,500,446,0,420,0.892000,8.736000,50.874000,7.228000,1.315241,2.936293,1.729523,3.309822,0.226544,0.841842,
232,learned,74028,500,457,0,441,0.914000,8.778000,52.506000,5.640000,1.324132,2.905944,1.712607,3.350201,0.225082,0.849750,
